from	to
11345	79065
11345	10241
11345	9779
11345	4077
11345	81605
11345	55968
11345	4734
11345	9140
11345	9776
11345	375
11345	64786
11345	27243
11345	474344
11345	338382
11345	23786
4653	4633
4653	11197
4653	7184
4653	23215
4653	2335
4653	84894
4653	10211
4653	10133
4653	136371
4653	5830
4653	8404
4653	4935
4653	134430
4653	83857
4653	1545
4653	54499
84908	6296
5009	7372
5009	9512
5009	384
5009	790
5009	162417
5009	3313
5009	4846
5009	435
5009	4843
5009	383
5009	10440
5009	4942
5009	5832
5009	23203
5009	445
5009	10531
5009	95
5009	1373
5009	2632
5009	4842
3224	4091
3224	57594
3224	202018
3224	4086
84245	51133
84245	58478
84245	55256
84245	55631
84245	4507
84245	78996
84245	51074
84245	84172
259282	9739
259282	2186
259282	1763
259282	30827
6894	51605
6894	83480
6894	57570
6894	27340
6894	25885
6894	54888
6894	93587
6894	142940
6894	4234
6894	24140
6894	1915
6894	152992
6894	10575
6894	223075
6894	9939
6894	55621
65078	4804
65078	11025
65078	4974
65078	396
65078	351
65078	290
65078	79932
65078	57142
65078	84894
65078	399
65078	55504
65078	4099
65078	7124
65078	387
65078	10436
5685	5704
5685	990
5685	5711
5685	5714
5685	5684
5685	4792
5685	5721
5685	5716
5685	5713
5685	5683
5685	4790
5685	595
5685	2735
5685	51053
5685	7337
5685	4953
5685	6185
5685	4738
5685	1968
5685	10574
5685	5695
5685	5700
5685	5687
5685	9097
5685	5717
5685	1143
5685	5597
5685	5689
5685	5709
5685	6647
5685	5694
5685	5686
5685	6233
5685	6637
5685	908
5685	22948
5685	27034
5685	7411
5685	10694
5685	5692
5685	10197
5685	6184
5685	134510
5685	6469
5685	161742
5685	10576
5685	1138
5685	27258
5685	993
5685	7314
5685	5707
5685	5708
5685	5705
5685	143471
5685	3184
5685	51686
5685	5062
5685	1136
5685	7334
5685	56984
5685	8624
5685	9491
5685	144165
5685	399473
5685	5718
5685	200734
5685	4763
5685	5699
5685	7415
5685	5693
5685	51377
5685	5202
5685	5710
5685	79184
5685	51684
5685	5688
5685	860
5685	4998
5685	5728
5685	5690
5685	8668
5685	5698
5685	5696
5685	4855
5685	10537
5685	7161
5685	51371
5685	5720
5685	1933
5685	10575
5685	9255
5685	10471
5685	56061
5685	2737
5685	864
5685	23198
5685	5970
5685	122706
5685	10213
5685	7311
5685	2736
5685	5701
5685	5719
5685	5706
5685	5682
5685	9861
5685	114803
5685	23194
5685	7336
5685	6224
5685	5715
5685	7316
5685	5204
5685	8650
5685	4947
5685	439
5685	84954
5685	4946
5685	11047
5685	83737
5685	5702
5685	9020
5685	5691
11055	375316
11055	53340
11055	7455
3937	933
3937	973
3937	5296
3937	29760
3937	6688
3937	8440
3937	5341
3937	5335
3937	7408
3937	5908
3937	1794
3937	7305
3937	5588
3937	5290
3937	867
3937	7294
3937	7535
3937	51411
3937	963
3937	2206
3937	10750
3937	84959
3937	1436
3937	5291
3937	2207
3937	10630
3937	1230
3937	51266
3937	1398
3937	915
3937	51206
3937	10125
3937	53347
3937	3059
3937	923
3937	940
3937	926
3937	2124
3937	3932
3937	8631
3937	9402
3937	5781
3937	1399
3937	2534
3937	5879
3937	2571
3937	3123
3937	916
3937	919
3937	2205
3937	1520
3937	6885
3937	9398
3937	5906
3937	10451
3937	7410
3937	6714
3937	6850
3937	199
3937	7454
3937	7006
3937	3824
3937	2885
3937	3122
3937	27040
3937	3105
3937	84433
3937	3689
3937	4214
3937	998
3937	925
3937	6654
3937	5777
3937	3113
3937	3702
3937	6464
3937	5905
3937	3635
3937	5788
3937	4690
3937	28988
3937	7462
3937	5295
3937	4067
3937	917
3937	3055
3937	567
3937	11184
3937	7409
3937	55340
3937	5336
3937	695
1634	4313
1634	56729
1634	7040
1634	1311
1634	1277
1634	8531
1634	135152
1634	6678
1634	7043
1634	4035
1634	79586
1634	8840
1634	22856
1634	7097
1634	4316
1634	7057
1634	2660
1634	64131
1634	7450
1634	3791
1634	2817
1634	2247
1634	1462
1634	1950
1634	26229
1634	4060
1634	2065
1634	3480
1634	2064
1634	1956
1634	56548
1634	221914
1634	1293
1634	1278
1634	4314
1634	337876
1634	3479
1634	1281
1634	50515
1634	6383
1634	113189
1634	4323
1634	92126
1634	4233
1634	166012
1634	2200
1634	63827
1634	29940
1634	2066
1634	339451
1634	9672
1634	2335
1634	2006
1634	1291
1634	7042
1634	10090
1634	1805
1634	1490
1634	2316
1634	2239
1634	4904
1634	6385
1634	64102
1634	9469
1634	4146
1634	7099
1634	55454
1634	3339
1634	4237
1634	10082
